Scholarship Name,Provider,Eligibility,Benefits,Deadline,How to Apply,Documents Required,Application Mode,URL
Imperial College London Imperial Excellence Scholarship 2026-27,N/A,M.Sc. applicants,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/imperial-college-london-imperial-excellence-scholarship-2026
"University of Nottingham, UK International Undergraduate Excellence Scholarships 2026",N/A,Undergraduate students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/university-of-nottingham-uk-international-undergraduate-excellence-scholarships-2026
Scholarship Programme for Diaspora Children (SPDC) 2025-26,N/A,Children of PIOs/OCIs/NRIs and children of Indian workers in ECR countries,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/scholarship-programme-for-diaspora-children-spdc-2025
"President's PhD Scholarships, Imperial College London 2026-27",N/A,Ph.D. applicants,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/presidents-phd-scholarships-imperial-college-london-2026
Radboud Scholarship Programme 2026-27,N/A,English-taught Master’s degree applicants,Source: ru.nl,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/radboud-scholarship-programme-2026
IIM Rohtak Doctoral Programme in Management 2026-30,N/A,Ph.D. applicants,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/iim-rohtak-doctoral-programme-in-management-2026
India Space Lab Winter Internship & Technical Training Program 2025-26,N/A,"UG, PG, and Research Scholars",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/india-space-lab-winter-internship-technical-training-program-2025
National University of Singapore Amgen Scholars Program 2026,N/A,Students pursuing undergraduate courses in Asian Institutions,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/national-university-of-singapore-amgen-scholars-program
MBZUAI Undergraduate Research Internship Program (UGRIP) 2025,N/A,UG students in AI-related fields,Source: mbzuai.ac.ae,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/mbzuai-undergraduate-research-internship-program-ugrip-2025
MauIana Azad Medical College Scholarship 2026,N/A,MBBS students at MAMC,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/mauiana-azad-medical-college-scholarship-2026
